Task Name,Output Valid?,Model Type,Syntax OK?,Token Count,Output Length (Lines),Time Taken (sec),Notes,Input,Provided Output,Accuracy,Syntax_Validity,Precision_Score
Bind Function,Yes,Fine-tuned,Yes,396,20,8.5,,Implement a custom bind function.,"Here is an example of how you can implement a custom bind() function that takes a function as an argument and returns a new function with a specific context:

// Define a function to bind a function to a specific context
function myBind(fn, context) {
        // Return a new function that calls the original function with the specified context
        return function() {
              fn.apply(context);
        };
}
This code will define a function called myBind that takes two arguments: a function and a specific context to bind the function to. The returned function is created using the function() constructor, and calls the original function with the specified context using the apply() method.

To use the myBind() function, you can call it with a function as an argument and specify the context for which to execute the function. Here is an example of how you can bind a function to a specific context using the myBind() function:

// Define a simple function
function greet(name) {
        console.log(""Hello, "" + name);
}

// Bind the function to a specific context
var boundGreet = myBind(greet, { name: ""John"" });

// Call the bound function with different arguments
boundGreet(); // Output: Hello, John
boundGreet({ name: ""Jane"" }); // Output: Hello, Jane
This code will define a simple function called greet that takes a string argument and logs a greeting message using the specified name. The myBind() function is then called with the greet function as an argument and a specific context to bind the function to. The returned function is assigned to a variable called boundGreet, and can be called with different arguments to execute the original function with the specified context.",1,1.0,1
Bind Function,Yes,Base,Yes,134,15,9.11,,Implement a custom bind function.,"
// Function to implement custom bind function
function bind(fn, thisArg) {
    // Define wrapper function
    function wrapper() {
        // Call original function with new context and argument
        fn.apply(thisArg, arguments);
    };

    // Return wrapper function
    return wrapper;
};

// Test the function
const myFunction = function() {
    console.log('Called!');
};
bind(myFunction, this).call(); // Output: Called!",1,1.0,1
Drag and drop list,Yes,Fine-tuned,Yes,529,38,7.99,,Build a drag-and-drop interface for a list of items.,"Sure! Here's an example of how you could build a drag-and-drop interface for a list of items using vanilla JavaScript:

// Get a reference to the container element
var container = document.getElementById(""container"");

// Add some initial list items
var listItems = [1, 2, 3];
listItems.forEach(function(item) {
  var li = document.createElement(""li"");
  li.innerText = item;
  container.appendChild(li);
});

// Add draggable attribute to the items
container.querySelectorAll(""li"").forEach(function(item) {
  item.setAttribute(""draggable"", true);
});

// Handle mousedown event on list items
container.addEventListener(""mousedown"", function(event) {
  var target = event.target;
  if (target.tagName === ""LI"" && target.hasAttribute(""draggable"")) {
    // Set dragged element to the selected item
    var draggedItem = target;

    // Add dragging class to the element
    draggedItem.classList.add(""dragging"");
  }
});

// Handle mouseup event on list items
container.addEventListener(""mouseup"", function(event) {
  var target = event.target;
  if (target.tagName === ""LI"" && target.hasAttribute(""draggable"")) {
    // Remove dragging class from the element
    var draggedItem = target;
    draggedItem.classList.remove(""dragging"");

    // Get the index of the selected item
    var index = Array.prototype.indexOf.call(draggedItem, draggedItem);

    // Update the position of the element in the list
    container.insertBefore(draggedItem, container.children[index - 1]);
  }
});
This code will define a container element and add some initial list items to it using vanilla JavaScript. It will also add the draggable attribute to each item and handle the mousedown event on the items to set the dragged element and add a dragging class to it. When the user releases the mouse button, the code will remove the dragging class from the element, get the index of the selected item, and update the position of the element in the list using the insertBefore() method.",1,1.0,1
Drag and drop list,No,Base,No,406,33,8.61,Imaginary Function,Build a drag-and-drop interface for a list of items.,"
// Function to build drag-and-drop interface
function buildDragDropInterface(items) {
    // Initialize empty list element
    const list = document.createElement('ul');

    // Loop through items and add to list
    for (let i = 0; i < items.length; i++) {
        const item = items[i];

        // Add item to list
        list.appendChild(document.createElement('li'));

        // Add drag handle to list item
        const dragHandle = document.createElement('div');
        dragHandle.classList.add('drag-handle');
        list.item(i).appendChild(dragHandle);
    };

    // Return list element
    return list;
}

// Test the function
const items = ['Item 1', 'Item 2', 'Item 3'];
const list = buildDragDropInterface(items); // Output: <ul><li>Item 1</li><li>Item 2</li><li>Item 3</li></ul>

// Add drag handle to item
list.item(0).querySelector('.drag-handle').addEventListener('mousedown', function() {
    console.log('Drag started!');
});

// Move item
list.item(1).querySelector('.drag-handle').addEventListener('mousedown', function() {
    console.log('Move started!');
    // Move item to new position
    const newIndex = list.indexOf(list.item(1));
    const newList = [...list.slice(0, newIndex), 'New item', ...list.slice(newIndex + 1)];
    list.replaceChildren(newList);
});",0,0.0,0
Hash navigation,Yes,Fine-tuned,Yes,539,44,7.93,,Write a router in JavaScript that handles hash-based navigation.,"Sure, here's an example of how you could write a router in JavaScript that handles hash-based navigation:

// Define an object to store routes
var routes = {
   """": function() {
      // Handle the default route
      console.log(""Default Route"");
   },
   ""#about"": function() {
      // Handle the about route
      console.log(""About Route"");
   },
   ""#contact"": function() {
      // Handle the contact route
      console.log(""Contact Route"");
   }
};

// Define a function to handle hash changes
function handleHashChange(event) {
   var newUrl = document.location.hash;
   if (routes[newUrl]) {
      routes[newUrl]();
   } else {
      // Handle any other route not defined in the routes object
      console.log(""Other Route"");
   }
}

// Add an event listener to handle hash changes
window.addEventListener(""hashchange"", handleHashChange);
This code will define an object called routes that stores functions for handling different routes. It will also define a function called handleHashChange that handles the hashchange event and calls the appropriate route handler based on the current hash in the URL. Finally, it will add an event listener to the window object to listen for hashchange events.

To use this router, you would simply need to add routes to the routes object and call the router function when you want to handle a specific route. For example:

// Add a new route
routes[""#settings""] = function() {
   console.log(""Settings Route"");
};

// Call the router function with the current hash in the URL
handleHashChange();
This code will add a new route to the routes object and call the handleHashChange function to handle the corresponding route. You can also use the router to handle any other routes not defined in the routes object by adding an entry to the routes object with an empty string as the key, like this:

// Add a new route
routes[""#other""] = function() {
   console.log(""Other Route"");
};

// Call the router function with the current hash in the URL
handleHashChange();
This code will add a new route to the routes object that handles any other routes not defined in the routes object.",1,1.0,1
Hash navigation,Yes,Base,No,241,27,8.52,No Output,Write a router in JavaScript that handles hash-based navigation.,"
// Function to handle hash-based navigation
function handleHashNav(hash) {
    // Get current URL
    const currentUrl = window.location.href;

    // Define route map
    const routes = {
        '/#': function() {
            console.log('Home');
        },
        '#/item/:id': function(id) {
            console.log(`Item #${id} visited!`);
        }
    };

    // Define route handler
    function handleRoute(route, params) {
        if (routes[route]) {
            routes[route](params);
        };
    };

    // Add event listener to hash changes
    window.addEventListener('hashchange', function() {
        const hash = window.location.href.split('#')[1];
        handleRoute(hash);
    });
};

// Test the function
handleHashNav('#/item/1'); // Output: Item #1 visited!",1,0.0,1
publish-subscribe pattern,Yes,Fine-tuned,Yes,346,24,7.94,,Implement a basic pub/sub (publish-subscribe) pattern.,"Here is an example of how you can implement a basic publish-subscribe pattern using JavaScrip:

// Define a function to create a new topic
function Topic(name, handlers) {
   this.name = name;
   this.handlers = handlers || [];
}

// Define functions to subscribe and publish messages
Topic.prototype.subscribe = function(handler) {
   this.handlers.push(handler);
};

Topic.prototype.publish = function(...args) {
   for (var i = 0; i < this.handlers.length; i++) {
      var handler = this.handlers[i];
      handler.apply(null, args);
   }
};

// Create a new topic and subscribe to it
var topic = new Topic(""message"");
topic.subscribe(function(message) {
   console.log(""Received message:"", message);
});

// Publish a message on the topic
topic.publish(""Hello, world!"");
This code will define a function called Topic that takes two arguments: the name of the topic and an array of handlers. The subscribe() function is used to add a new handler to the topic, and the publish() function is used to publish a message on the topic. When a message is published, it is passed as an argument to each handler in the array of handlers for that topic. You can subscribe to any number of topics by creating a new instance of the Topic class and calling the subscribe() function with the appropriate arguments.",1,1.0,1
publish-subscribe pattern,No,Base,No,324,34,8.32,Unexpected end of input,Implement a basic pub/sub (publish-subscribe) pattern.,"
// Function to implement pub/sub pattern
function pubSub() {
    // Define subjects and observers
    const subjects = [];
    const observers = [];

    // Define event emitter function
    function emit(event, data) {
        // Emit event to subscribers
        for (let i = 0; i < subjects.length; i++) {
            if (subjects[i]) {
                subjects[i].forEach((observer) => observer.update(data));
            };
        };
    };

    // Subscribe function
    function subscribe(observer) {
        observers.push(observer);
        return function unsubscribe() {
            observers.splice(observers.indexOf(observer), 1);
        };
    };

    // Define pub/sub function
    function publish(event, data) {
        emit(event, data);
    };

    // Test the function
    const subject = {
        update: () => console.log('Subject updated!'),
    };
    const observer = {
        update: () => console.log('Observer updated!'),
    };
    pubSub().subscribe(observer);
    pubSub.publish('Event', 'Data'); // Output: Subject updated! Observer updated!",0,0.0,0
carousel/slider component,Yes,Fine-tuned,Yes,702,50,8.94,,Create a carousel/slider component without using external libraries.,"Sure, here's an example of how you can create a basic carousel/slider component without using any external libraries:

// Define a function to create a new slide
function Slide(imageUrl) {
    this.imageUrl = imageUrl;
}

// Define functions for the carousel
function Carousel() {
    this.slides = [];
    this.currentSlideIndex = 0;
}

Carousel.prototype.addSlide = function(slide) {
    this.slides.push(slide);
};

Carousel.prototype.removeSlide = function(index) {
    this.slides.splice(index, 1);
};

Carousel.prototype.getCurrentSlideIndex = function() {
    return this.currentSlideIndex;
};

Carousel.prototype.showNextSlide = function() {
    if (this.slides.length > 0) {
        this.currentSlideIndex++;
        if (this.currentSlideIndex >= this.slides.length) {
            this.currentSlideIndex = 0;
        }
        var currentSlide = this.slides[this.currentSlideIndex];
        // Update the slide container with the current slide's image URL
        document.getElementById(""slide-container"").src = currentSlide.imageUrl;
    }
};

Carousel.prototype.showPreviousSlide = function() {
    if (this.slides.length > 0) {
        this.currentSlideIndex--;
        if (this.currentSlideIndex < 0) {
            this.currentSlideIndex = this.slides.length - 1;
        }
        var currentSlide = this.slides[this.currentSlideIndex];
        // Update the slide container with the current slide's image URL
        document.getElementById(""slide-container"").src = currentSlide.imageUrl;
    }
};

// Create a new carousel and add some slides to it
var carousel = new Carousel();
carousel.addSlide(new Slide(""https://www.example.com/image1.jpg""));
carousel.addSlide(new Slide(""https://www.example.com/image2.jpg""));
carousel.addSlide(new Slide(""https://www.example.com/image3.jpg""));

// Add event listeners for the next and previous buttons
document.getElementById(""next-button"").addEventListener(""click"", carousel.showNextSlide);
document.getElementById(""previous-button"").addEventListener(""click"", carousel.showPreviousSlide);
This code will define a Carousel class that has functions for adding, removing, and getting the current slide index of slides in the carousel. It will also define a Slide class that represents an individual slide in the carousel. When a new slide is added to the carousel, its image URL is used to update the slide container element. The carousel can be navigated using buttons for next and previous slide.",1,1.0,1
carousel/slider component,No,Base,No,382,30,8.06, Identifier 'carousel' has already been declared,Create a carousel/slider component without using external libraries.,"
// Function to create carousel component
function createCarousel() {
    // Initialize empty list element
    const carousel = document.createElement('ul');

    // Loop through items and add to carousel
    for (let i = 0; i < 3; i++) {
        const item = document.createElement('li');
        item.innerHTML = `Item ${i + 1}`;
        carousel.appendChild(item);
    };

    // Define slide function
    function slide(index) {
        // Remove current item from carousel
        carousel.querySelector('.active').parentNode.removeChild(carousel.querySelector('.active'));

        // Add new item to carousel at specified index
        const newItem = document.createElement('li');
        newItem.innerHTML = `Item ${index + 1}`;
        carousel.appendChild(newItem);

        // Set new active item
        carousel.querySelector('.active').parentNode.replaceChild(newItem, newItem.querySelector('.active'));
    };

    // Define slide event listener
    const carouselElement = document.body.appendChild(carousel);
    carouselElement.addEventListener('click', function() {
        slide(this.selectedIndex);
    });

    // Test the component
    const carousel = createCarousel();
    carousel.querySelector('.active').innerHTML = `Item 1`;
    console.log(carousel.querySelector('.active').parentNode); // Output: <li class=""active"">Item 1</li>",0,0.0,0
Stopwatch Function,Yes,Fine-tuned,Yes,937,72,8.39,,"Build a JavaScript stopwatch with start, stop, and reset.","Here is an example of how you could build a JavaScript stopwatch with start, stop, and reset functions:

// Define a stopwatch object
var stopwatch = {
   running: false,
   startTime: null,
   elapsedTime: 0,
   updateDisplay: function() {
      var time = this.elapsedTime;
      document.getElementById(""stopwatch"").innerHTML = ""Elapsed Time: "" + time + "" seconds"";
   }
};

// Define start function
stopwatch.start = function() {
   if (this.running) {
      alert(""The stopwatch is already running."");
   } else {
      this.running = true;
      this.startTime = new Date().getTime();
      setInterval(this.updateDisplay, 10);
   }
};

// Define stop function
stopwatch.stop = function() {
   if (!this.running) {
      alert(""The stopwatch is not running."");
   } else {
      this.elapsedTime += (new Date().getTime() - this.startTime);
      this.running = false;
   }
};

// Define reset function
stopwatch.reset = function() {
   if (this.running) {
      alert(""You must stop the stopwatch before resetting it."");
   } else {
      this.elapsedTime = 0;
      document.getElementById(""stopwatch"").innerHTML = ""Elapsed Time: 0 seconds"";
   }
};
This code defines a stopwatch object with three functions: start, stop, and reset. The start function starts the stopwatch by setting the running property to true, storing the start time in this.startTime, and using setInterval to update the display every 10 milliseconds. The stop function stops the stopwatch by adding the elapsed time since the last update to this.elapsedTime, setting running to false, and clearing any interval timers that may have been set. The reset function resets the stopwatch by setting elapsedTime to 0, updating the display with a new start time, and stopping the stopwatch if it is currently running.

You can use these functions in your HTML file like this:

<!DOCTYPE html>
<html>
   <head>
      <title>Stopwatch Example</title>
   </head>
   <body>
      <h1>Stopwatch Example</h1>
      <button id=""start-button"">Start Stopwatch</button>
      <button id=""stop-button"">Stop Stopwatch</button>
      <button id=""reset-button"">Reset Stopwatch</button>
      <div id=""stopwatch""></div>
      <script src=""stopwatch.js""></script>
   </body>
</html>
This HTML file defines three buttons that will call the start, stop, and reset functions on the stopwatch object, respectively. It also defines a div element with an id of ""stopwatch"" where the elapsed time will be displayed. You can then use this code in your JavaScript file to start the stopwatch, stop it, or reset it:

// Get references to the buttons and div
var startButton = document.getElementById(""start-button"");
var stopButton = document.getElementById(""stop-button"");
var resetButton = document.getElementById(""reset-button"");
var stopwatchDiv = document.getElementById(""stopwatch"");

// Add event listeners for the buttons
startButton.addEventListener(""click"", function() {
   stopwatch.start();
});
stopButton.addEventListener(""click"", function() {
   stopwatch.stop();
});
resetButton.addEventListener(""click"", function() {
   stopwatch.reset();
});
This code gets references to the three buttons and the div that will display the elapsed time, and adds event listeners for the start, stop, and reset buttons using vanilla JavaScript. When a button is clicked, the corresponding function is called on the stopwatch object, which will start, stop, or reset the stopwatch accordingly.",1,1.0,1
Stopwatch Function,No,Base,No,289,29,9.64,stopwatch.start is not a function,"Build a JavaScript stopwatch with start, stop, and reset.","
// Function to build stopwatch
function buildStopwatch(startTime) {
    // Initialize empty object
    const stopwatch = {};

    // Define functions for start, stop, and reset
    function start() {
        // Set current time to start time
        stopwatch.timeStart = Date.now();
    };

    function stop() {
        // Set current time to stop time
        stopwatch.timeEnd = Date.now();
    };

    function reset() {
        // Set current time to 0
        stopwatch.time = 0;
    };

    // Return object with start, stop, and reset functions
    return stopwatch;
};

// Test the function
const startTime = Date.now();
const stopwatch = buildStopwatch(startTime);
stopwatch.start();
console.log(Date.now() - startTime); // Output: 0
stopwatch.stop();
console.log(Date.now() - startTime); // Output: 1000
stopwatch.reset();
console.log(Date.now() - startTime); // Output: 0
",0,0.0,0
